date,mkp_name,ipl_cl,ipl_pro,rasuradora,perfiladora,repuestos,exfoliante,agua_de_rosas
2024-04-15,amzn,6,5,1,1,0,1,1
2024-04-16,ml,9,4,3,4,0,2,1
2024-04-17,ml,9,2,2,3,0,2,2
2024-04-18,ml,9,3,1,3,0,1,1
2024-04-19,shop,8,0,1,1,0,1,1
2024-04-20,ml,9,4,3,2,0,1,1
2024-04-21,ml,16,4,3,4,0,2,2
2024-04-22,ml,9,3,3,2,0,1,1
2024-04-23,ml,13,6,1,4,0,0,0
2024-04-24,amzn,7,4,2,2,0,1,1
2024-04-25,ml,12,5,2,4,0,1,1
2024-04-26,amzn,6,3,2,3,0,1,1
2024-04-27,amzn,6,3,1,3,0,1,1
2024-04-28,shop,7,3,1,2,0,1,1
2024-04-29,ml,11,4,2,3,0,2,2
2024-04-30,shop,4,0,1,2,0,0,0
2024-05-01,amzn,5,3,2,2,0,1,2
2024-05-02,ml,6,4,2,4,0,1,2
2024-05-03,amzn,6,4,1,2,0,1,2
2024-05-04,shop,2,2,1,2,0,1,1
2024-05-05,ml,11,4,2,3,0,1,2
2024-05-06,shop,7,2,1,2,0,0,1
2024-05-07,amzn,8,4,2,2,0,0,0
2024-05-08,amzn,2,4,2,2,0,1,1
2024-05-09,shop,5,3,1,1,0,0,0
2024-05-10,ml,10,4,1,2,0,2,1
2024-05-11,shop,11,2,0,2,0,1,1
2024-05-12,ml,8,6,3,2,0,2,2
2024-05-13,amzn,7,4,1,1,0,1,2
2024-05-14,amzn,12,3,1,2,0,1,2
2024-05-15,ml,13,6,3,4,0,1,2
2024-05-16,ml,11,6,3,3,0,1,2
2024-05-17,ml,11,6,2,3,0,1,1
2024-05-18,ml,12,7,2,2,0,1,2
2024-05-19,ml,14,4,2,2,0,1,1
2024-05-20,ml,9,5,2,5,0,1,1
2024-05-21,ml,12,4,3,2,0,1,1
2024-05-22,ml,6,4,2,3,0,1,2
2024-05-23,amzn,8,3,2,2,0,1,1
2024-05-24,amzn,9,2,2,3,0,1,2
2024-05-25,amzn,8,4,1,2,0,1,1
2024-05-26,ml,12,4,3,4,0,1,3
2024-05-27,shop,3,2,1,1,0,0,1
2024-05-28,amzn,5,3,0,2,0,1,1
2024-05-29,ml,9,3,1,2,0,1,1
2024-05-30,ml,8,5,2,3,0,1,2
2024-05-31,amzn,10,4,2,2,0,2,1
2024-06-01,ml,8,6,3,4,0,2,2
2024-06-02,amzn,10,6,2,5,0,1,2
2024-06-03,shop,2,2,2,2,0,0,1
2024-06-04,ml,8,5,1,3,0,2,2
2024-06-05,ml,8,3,2,3,0,2,2
2024-06-06,shop,8,1,1,0,0,1,1
2024-06-07,amzn,8,5,1,1,0,2,1
2024-06-08,ml,10,4,2,4,0,2,2
2024-06-09,shop,6,1,0,1,0,1,2
2024-06-10,shop,0,2,2,1,0,1,1
2024-06-11,amzn,8,3,1,2,0,1,2
2024-06-12,amzn,11,2,3,1,0,1,2
2024-06-13,ml,11,4,2,2,0,1,2
2024-06-14,ml,9,5,2,3,0,1,2
2024-06-15,amzn,10,3,2,2,0,1,2
2024-06-16,ml,12,3,2,3,0,2,3
2024-06-17,amzn,2,4,1,2,0,1,2
2024-06-18,shop,1,3,1,2,0,0,1
2024-06-19,ml,10,4,2,3,0,1,2
2024-06-20,amzn,5,1,1,2,0,1,2
2024-06-21,ml,13,3,2,3,0,1,2
2024-06-22,shop,5,3,1,2,0,1,1
2024-06-23,ml,5,6,3,3,0,2,2
2024-06-24,amzn,3,2,1,2,0,1,1
2024-06-25,amzn,0,3,2,2,0,1,1
2024-06-26,ml,8,4,2,3,0,1,1
2024-06-27,amzn,7,1,2,2,0,1,1
2024-06-28,amzn,7,4,1,2,0,2,2
2024-06-29,amzn,11,3,2,2,0,1,2
2024-06-30,amzn,10,4,2,3,0,2,1
2024-07-01,shop,5,2,2,2,0,1,1
2024-07-02,ml,5,6,2,3,0,1,2
2024-07-03,amzn,9,4,2,2,0,1,2
2024-07-04,ml,12,2,2,3,0,1,2
2024-07-05,amzn,8,3,2,3,0,1,1
2024-07-06,amzn,11,4,2,3,0,1,2
2024-07-07,ml,8,4,3,4,0,2,2
2024-07-08,ml,13,4,1,2,0,1,2
2024-07-09,shop,3,3,1,2,0,1,1
2024-07-10,ml,11,5,1,3,0,2,2
2024-07-11,amzn,4,3,3,3,0,1,1
2024-07-12,ml,8,3,3,3,0,2,2
2024-07-13,shop,10,2,1,2,0,1,1
2024-07-14,ml,10,5,3,3,0,2,2
2024-07-15,ml,11,3,2,3,0,1,2
2024-07-16,shop,5,3,2,3,0,1,2
2024-07-17,shop,5,3,0,1,0,1,0
2024-07-18,ml,12,4,2,2,0,2,1
2024-07-19,amzn,6,0,1,2,0,0,0
2024-07-20,amzn,3,2,0,2,0,1,1
2024-07-21,shop,3,4,2,3,0,0,1
2024-07-22,ml,10,3,2,2,0,0,1
2024-07-23,amzn,7,1,2,2,0,1,1
2024-07-24,amzn,3,4,3,1,0,1,1
2024-07-25,amzn,6,4,1,2,0,1,1
2024-07-26,amzn,6,4,1,1,0,1,1
2024-07-27,amzn,8,4,2,3,0,1,1
2024-07-28,ml,6,5,2,5,0,1,1
2024-07-29,shop,3,2,1,1,0,1,0
2024-07-30,shop,2,3,1,0,0,0,0
2024-07-31,amzn,9,5,2,3,0,1,1
2024-08-01,ml,11,5,2,2,0,1,1
2024-08-02,ml,7,2,1,3,0,1,1
2024-08-03,amzn,7,4,1,2,0,1,1
2024-08-04,ml,9,5,3,2,0,1,1
2024-08-05,shop,2,3,1,1,0,0,1
2024-08-06,ml,4,3,1,3,0,1,0
2024-08-07,amzn,4,4,1,2,0,1,1
2024-08-08,shop,2,3,1,1,0,0,0
2024-08-09,ml,6,6,2,3,0,1,2
2024-08-10,ml,9,3,1,2,0,2,1
2024-08-11,amzn,9,3,1,3,0,1,2
2024-08-12,amzn,2,2,1,0,0,1,2
2024-08-13,ml,7,3,1,2,0,1,0
2024-08-14,amzn,5,2,2,2,0,0,1
2024-08-15,shop,5,0,0,2,0,1,0
2024-08-16,amzn,7,3,2,3,0,1,1
2024-08-17,ml,6,5,3,3,0,2,1
2024-08-18,ml,5,3,2,4,0,1,1
2024-08-19,ml,8,6,2,3,0,1,1
2024-08-20,ml,9,3,1,2,0,1,1
2024-08-21,ml,2,4,1,3,0,1,1
2024-08-22,amzn,6,3,1,2,0,1,1
2024-08-23,ml,10,4,2,2,0,1,1
2024-08-24,shop,4,2,1,0,0,0,0
2024-08-25,ml,10,5,1,3,0,1,2
2024-08-26,ml,5,3,1,3,0,2,1
2024-08-27,amzn,5,3,1,2,0,0,1
2024-08-28,shop,0,2,1,0,0,0,1
2024-08-29,ml,2,3,2,2,0,1,1
2024-08-30,ml,10,4,2,3,0,1,1
2024-08-31,ml,7,7,3,3,0,1,2
2024-09-01,amzn,6,3,2,1,0,1,2
2024-09-02,amzn,2,3,2,2,0,1,1
2024-09-03,ml,3,4,1,1,0,1,1
2024-09-04,ml,5,4,1,1,0,1,1
2024-09-05,amzn,4,3,1,3,0,1,1
2024-09-06,shop,5,0,1,3,0,1,1
2024-09-07,amzn,7,3,1,1,0,1,1
2024-09-08,amzn,6,0,1,2,0,2,1
2024-09-09,ml,7,4,1,2,0,1,1
2024-09-10,ml,11,3,1,4,0,0,0
2024-09-11,ml,4,4,1,2,0,1,1
2024-09-12,amzn,5,1,2,1,0,1,1
2024-09-13,shop,6,0,1,2,0,1,1
2024-09-14,shop,7,2,2,1,0,1,0
2024-09-15,shop,0,2,1,2,0,1,1
2024-09-16,shop,3,1,1,0,0,1,0
2024-09-17,shop,7,2,1,1,0,0,1
2024-09-18,ml,8,6,2,1,0,1,1
2024-09-19,ml,8,4,2,2,0,1,1
2024-09-20,ml,6,4,3,3,0,0,1
2024-09-21,amzn,5,3,1,2,0,1,1
2024-09-22,ml,7,5,2,2,0,1,0
2024-09-23,shop,3,1,1,0,0,1,1
2024-09-24,amzn,6,0,0,2,0,1,1
2024-09-25,amzn,5,2,1,2,0,1,1
2024-09-26,ml,6,4,2,3,0,1,1
2024-09-27,ml,8,2,1,0,0,1,1
2024-09-28,ml,15,4,2,2,0,1,1
2024-09-29,shop,0,1,0,1,0,0,1
2024-09-30,amzn,6,4,0,1,0,1,1
2024-10-01,amzn,3,3,2,2,0,0,0
2024-10-02,ml,8,3,1,2,0,1,1
2024-10-03,ml,7,4,1,2,0,1,1
2024-10-04,ml,9,3,2,2,0,1,1
2024-10-05,amzn,8,3,1,2,0,1,1
2024-10-06,amzn,6,1,1,2,0,0,0
2024-10-07,ml,9,1,2,2,0,0,1
2024-10-08,shop,0,2,0,1,0,1,0
2024-10-09,ml,11,3,1,2,0,1,1
2024-10-10,shop,4,3,1,2,0,0,0
2024-10-11,ml,10,5,2,2,0,2,1
2024-10-12,ml,6,6,3,4,0,1,1
2024-10-13,shop,2,1,1,2,0,1,1
